"distance_rd_primary","distance_rd_secondary","distance_rd_4wd","distance_rd_min_all","distance_rd_min_prisec","distance_rd_min_isprisec","FireDiscoveryDateTime","x","y","Date","mean_slope","Elevation","mean_forest","mean_grass","mean_shrub","mean_shrub_percentage","Temp_Max_Buffered","Temp_Min_Buffered","Precipitation_Buffered"
87021.3307552454,9774.15624715853,7065.546232832,7065.546232832,9774.15624715853,0,"2023-11-05 23:44:00",406216.053410786,3989948.43057732,"2020-01-01",66.8698302904977,1402.34396551724,0.0146551724137931,0.0014367816091954,0,0,21.9679452291907,6.92082193223889,1.17021917702809
33717.5965276879,22267.6764841018,19756.3542819243,19756.3542819243,22267.6764841018,0,"2019-06-29 01:34:00",321737.703547019,3944143.35040668,"2020-01-01",6.79692735154832,1960.48619102417,0.0304948216340621,0.138952819332566,0,0,17.8506301220558,3.63646577790583,0.909260277429672
78844.3545896781,12949.5881924562,671.178884609731,671.178884609731,12949.5881924562,0,"2021-05-23 13:54:00",476477.952450988,3973221.0100868,"2020-01-01",5.71925408732458,1351.27933121937,0,0.042951859325454,0,0,24.206602721345,9.77890412703361,1.01517808061757
38810.5282103525,1079.25474613373,5819.17484840604,1079.25474613373,1079.25474613373,1,"2024-09-28 09:30:00",467488.8771203,3817499.53909739,"2020-01-01",14.0767716984883,2164.50172711572,0.28209556706966,0.713874496257916,0,0,16.7206980036578,3.3871824389621,2.01438169567514
78552.4670356799,12125.8819109399,184.273820333625,184.273820333625,12125.8819109399,0,"2021-11-23 19:21:00",475631.403079287,3973071.88817848,"2020-01-01",4.71981695895599,1344.14515665421,0,0.0885311871227364,0,0,24.2221369359591,9.93964384573779,0.996602744925513
17776.982574532,14736.976389765,1116.95981236086,1116.95981236086,14736.976389765,0,"2014-04-08 06:45:00",455332.497108609,3834673.47090509,"2020-01-01",5.4126113378031,2020.93068737417,0.972965199884958,0.00086281276962899,0,0,18.4659999940493,4.63098630245825,1.33147945469373
9732.94224238437,15127.0085444738,4068.49539652415,4068.49539652415,9732.94224238437,0,"2023-05-17 04:32:00",346728.33862654,3913223.80060349,"2020-01-01",8.4021257634203,1834.00172910663,0.744380403458213,0.00201729106628242,0,0,19.7021095874375,3.13887670432051,1.01334246173501
66420.2148466504,11672.656593251,4642.05452646114,4642.05452646114,11672.656593251,0,"2020-08-07 00:01:00",441030.67084034,3964725.02450526,"2020-01-01",11.2063722441687,1920.850531762,0.00689853406151193,0.108651911468813,0,0,20.3700821910411,5.21386304754409,0.458767120274779
91349.1491794202,70387.9185635899,4070.0551415491,4070.0551415491,70387.9185635899,0,"2023-07-17 22:49:00",317931.842011253,4001651.81350516,"2020-01-01",6.13178391830505,1966.46607245543,0.436170212765957,0,0,0,17.3675616300678,3.67780820990669,0.982219187170267
36154.9557102477,35759.2717842538,10419.7488765885,10419.7488765885,35759.2717842538,0,"2022-09-18 12:00:00",353248.657477041,3939007.08638563,"2020-01-01",3.46956058581563,1815.82633697527,0,0.333525014376078,0,0,20.2489863224226,3.86569864443211,1.01134246562748
43415.9015239389,22388.5992923361,1006.80977671932,1006.80977671932,22388.5992923361,0,"2024-05-01 00:43:00",506478.678404892,3927739.31761138,"2020-01-01",4.2739501802365,1500.09682997118,0,0.715561959654179,0,0,22.2123661268909,5.3736376078739,0.676287048664708
115967.231056589,23561.5388246021,21620.5140429429,21620.5140429429,23561.5388246021,0,"2023-07-17 09:18:00",431855.690381262,4016791.72742659,"2020-01-01",2.87961143763264,1822.94252873563,0,0.0014367816091954,0,0,18.7734520971163,5.91698629686175,1.26328766607258
26608.5915096617,29148.4521341658,8731.08827963231,8731.08827963231,26608.5915096617,0,"2019-09-06 01:40:00",355142.345668992,3927868.00685829,"2020-01-01",4.14126418144699,1776.86511360368,0.0721886683922922,0.00143802128271498,0,0,19.6678904112479,3.10852055942053,1.37142466306687
21811.1717259983,21828.3062937172,282.835699796074,282.835699796074,21811.1717259983,0,"2021-09-02 18:46:00",371913.725041215,3919845.57033986,"2020-01-01",6.54868487860637,1761.41127408686,0.00632729364394593,0.371297095197009,0,0,21.0636164420271,3.68326027224937,1.45432875911667
14275.8323481486,12440.3149623791,4915.9634785263,4915.9634785263,12440.3149623791,0,"2022-03-06 07:50:00",384494.086149274,3883851.24445511,"2020-01-01",12.1180017285587,2004.71547756041,0.909666283084005,0,0,0,18.940219198596,3.52241095001362,1.37780821552015
166198.907809013,817.923368253732,8111.9284119776,817.923368253732,817.923368253732,1,"2014-07-30 07:00:00",475505.109728191,4061478.56199179,"2020-01-01",7.6244316607825,1762.12190914319,0,0,0,0,20.4824109684931,7.32772601399929,0.349643832526795
99036.3816028765,49586.9603914838,213.564770185865,213.564770185865,49586.9603914838,0,"2021-08-01 01:53:00",352739.740701621,4006106.29365997,"2020-01-01",30.7195211520501,1220.37248128958,0,0,0,0,24.6007397638608,8.90789044321807,0.835150689968508
101590.964960479,7592.14272521283,7432.49342397107,7432.49342397107,7592.14272521283,0,"2017-04-08 23:58:00",506140.035431156,3987769.79385212,"2020-01-01",12.6283633784316,1633.53693590112,0,0.340327680367922,0,0,23.1073698305104,7.33832874959461,0.571945202432266
16458.2510262382,27406.5367056285,307.964906269611,307.964906269611,16458.2510262382,0,"2021-12-03 23:30:00",460791.067079773,3860080.19438409,"2020-01-01",13.4598177899302,2335.69692617064,0.98075265728239,0.00143636885952313,0,0,16.063068486199,2.92621917931797,1.93454795112348
103308.755863947,19996.7807118644,13017.1383449576,13017.1383449576,19996.7807118644,0,"2020-06-26 09:44:00",435353.493889158,4003477.20871859,"2020-01-01",64.0430608102918,1517.57688991089,0,0.00488646162690428,0,0,21.99309585715,7.96115068748901,0.342520550954832
65720.47712397,36959.1219750749,22710.0130431259,22710.0130431259,36959.1219750749,0,"2023-11-02 07:03:00",300458.155142366,3972308.49667912,"2020-01-01",16.7415698701,2091.06528616624,0.90595340811044,0,0,0,16.2641917661036,3.4320000079703,1.15060273000639
126759.394250499,12717.2296074864,2302.36121870034,2302.36121870034,12717.2296074864,0,"2021-06-13 07:34:00",393178.45056341,4090520.49103923,"2020-01-01",11.7195616614098,1812.15120967742,0.0115207373271889,0,0,0,20.4552876773763,5.1075616680494,0.895205481411658
9061.95223767051,12582.2293300305,7097.54571348923,7097.54571348923,9061.95223767051,0,"2020-07-06 07:46:00",463277.899920207,3904650.24569678,"2020-01-01",4.67938575321116,1894.05352517986,0.416690647482014,0.0958273381294964,0,0,20.5208767218133,3.38641094293904,0.528767125533052
11092.3950150163,6626.32052820358,84.6390582538,84.6390582538,6626.32052820358,0,"2022-04-10 13:12:00",515902.004312115,3892000.52083942,"2020-01-01",3.34740036686627,1492.95949439816,0,0.0970985349037633,0,0,22.4449589543147,5.576876736912,0.647452051937581
16079.3437115323,9813.78075410962,858.334305685279,858.334305685279,9813.78075410962,0,"2022-01-12 13:33:00",515702.415171722,3897401.29872166,"2020-01-01",3.23114741844405,1457.86252516537,0,0.088006902502157,0,0,22.7089041262457,5.6974246523866,0.733561642692515
33971.4036579761,3100.75884982578,2687.06411301069,2687.06411301069,3100.75884982578,0,"2017-07-10 15:47:00",470363.003897664,3826252.47429884,"2020-01-01",5.45484425556889,2104.44655718813,0.901757418611351,0.000576202823393835,0,0,18.7320548184114,4.43515069452049,1.52556165342462
23176.8274035889,21910.3750867709,8756.93158335834,8756.93158335834,21910.3750867709,0,"2024-02-09 20:08:00",335048.586106242,3932322.43719692,"2020-01-01",6.20513529519391,1870.64396551724,0.299137931034483,0.000862068965517241,0,0,19.5210467037306,2.64040971573004,1.12216625235858
104542.602112692,7480.36890919984,2243.39648247385,2243.39648247385,7480.36890919984,0,"2020-04-02 05:30:00",515174.772237978,3988285.92295198,"2020-01-01",4.67156198743614,1762.44153225806,0,0.344470046082949,0,0,22.1343013538073,5.34095892825557,0.56621917592336
15163.6435258447,21749.1512811988,1448.70567133607,1448.70567133607,15163.6435258447,0,"2024-06-19 18:48:00",478735.402356486,3905754.29404809,"2020-01-01",7.48289371745661,1746.79464285714,0,0.569700460829493,0,0,20.1418798195112,3.67997571871008,0.972340597748615
10716.9210062985,7630.11071776621,38.7068430438156,38.7068430438156,7630.11071776621,0,"2017-09-12 08:23:00",496712.395705269,3896153.77261317,"2020-01-01",3.34529036359471,1532.19723979298,0,0.60149511213341,0,0,23.3941369716435,5.40649314657466,0.647041093364155
14086.4127364926,4450.6078649823,13403.8092588635,4450.6078649823,4450.6078649823,1,"2021-11-30 07:58:00",522674.48131767,3862847.99988681,"2020-01-01",3.74843076960016,1598.89035971223,0,0.117410071942446,0,0,22.3061917801426,5.08273976737097,0.552191777098668
10235.6379951908,10521.7044377245,1633.31476677137,1633.31476677137,10235.6379951908,0,"2021-11-14 16:26:00",396305.985894703,3892001.07727399,"2020-01-01",7.88865075356143,2179.22091353059,0.939672507900029,0,0,0,17.5638356437422,3.55583563363308,2.06728767336231
143083.181809783,2059.77134042851,15408.4087361022,2059.77134042851,2059.77134042851,1,"2024-09-14 17:04:00",443450.815649486,4042501.21406538,"2020-01-01",9.25714103789306,1770.67607255975,0,0.01468471062482,0,0,19.2979109551176,5.16861830670807,0.761988170293728
78301.8244132713,11745.9013166954,639.068061471619,639.068061471619,11745.9013166954,0,"2024-05-18 15:56:00",512797.5989248,3962050.13945516,"2020-01-01",5.13176415147577,1659.2974137931,0,0.691091954022989,0,0,21.1153461917661,4.75650436070476,0.703903486856737
145850.619007951,12595.1781359348,192.775402371954,192.775402371954,12595.1781359348,0,"2014-11-02 03:36:00",424863.724128165,4047523.64308442,"2020-01-01",4.5204499499917,1579.67740080506,0,0.0540540540540541,0,0,21.5397808140271,7.69027395870995,0.456493150861296
67934.7244505381,54982.3751930997,21914.7054711643,21914.7054711643,54982.3751930997,0,"2019-08-06 09:48:00",343015.701936452,3976465.89207833,"2020-01-01",3.44680190017006,1769.12741424042,0,0.0149899106370712,0,0,18.8267945684391,4.34726027709061,0.976657535646059
163991.406499694,7320.97524092445,8516.17721839543,7320.97524092445,7320.97524092445,1,"2017-05-18 23:46:00",454337.142061936,4061817.23074492,"2020-01-01",3.99498655455055,1750.73198847262,0,0,0,0,20.738301365894,7.47873973295297,0.631643832750515
121509.69772546,17100.8389000412,19079.8935149197,17100.8389000412,17100.8389000412,1,"2017-01-11 12:06:00",377382.95380226,4047694.30959947,"2020-01-01",11.6604880783553,2251.68602645198,0.955434157561817,0.00230017251293847,0,0,17.6198082325802,3.242986286008,1.1068493160483
43337.2681908213,9981.58630463009,563.903524173526,563.903524173526,9981.58630463009,0,"2017-02-17 13:41:00",425236.390056389,3944256.62996903,"2020-01-01",5.09019418283105,1964.06384814495,0.0500431406384814,0.156169111302847,0,0,19.6615068113967,3.24232877122418,0.880986303647292
181886.583020606,12044.5371983139,11094.4247898946,11094.4247898946,12044.5371983139,0,"2019-02-14 19:56:00",484817.28951857,4076134.61042512,"2020-01-01",13.2835088203936,1496.05120828539,0,0,0,0,20.3881643852142,7.46912329862378,0.622602742420484
144928.492432577,1622.98233450838,4918.52323582183,1622.98233450838,1622.98233450838,1,"2020-03-15 02:48:00",407406.20526863,4063505.10325924,"2020-01-01",10.1284400922614,1652.87442528736,0,0.0580459770114943,0,0,21.8841917643808,6.2055890401851,0.283999999581951
48852.2808794141,20517.2026807009,1570.25633046102,1570.25633046102,20517.2026807009,0,"2020-02-05 20:08:00",376572.256659118,3949141.70641722,"2020-01-01",8.03670789041778,1720.95540851554,0,0.0604142692750288,0,0,22.211452038974,4.26309590454992,0.451315071158214
39902.5040922791,9998.1833127717,10343.5052762869,9998.1833127717,9998.1833127717,1,"2022-08-27 16:47:00",441681.180553967,3936859.73705997,"2020-01-01",20.1619296377423,1968.57373271889,0.00547235023041475,0.627592165898618,0,0,18.07610956978,2.50164382720543,1.12904109979329
68667.9801261445,10539.9249702466,1518.37770617408,1518.37770617408,10539.9249702466,0,"2015-05-13 22:30:00",408452.423897314,3971482.64017525,"2020-01-01",6.32915694983388,2127.50460034503,0.915756181713628,0.00603795284646348,0,0,17.3197808569476,2.62454794688685,1.5288767111628
122886.180651652,16944.3172292766,21345.8324281021,16944.3172292766,16944.3172292766,1,"2022-03-14 06:26:00",436074.722199003,4023141.00724205,"2020-01-01",3.19926812253795,1801.99682722815,0,0.00721084511104701,0,0,19.5854520708731,6.55312330176262,0.904301366454935
117656.63138523,10989.8919839985,653.253136599919,653.253136599919,10989.8919839985,0,"2017-05-16 13:34:00",507051.871176899,4004588.80958555,"2020-01-01",6.59594575949958,1661.81379310345,0,0.0635057471264368,0,0,22.6916438517505,7.28567122774172,0.761972601936288
23055.2678549044,3065.51975738133,1823.3189946923,1823.3189946923,3065.51975738133,0,"2021-12-01 02:00:00",390170.920032901,3925882.97120429,"2020-01-01",4.33009892802453,1850.40317002882,0.0141210374639769,0.0855907780979827,0,0,20.1185205457706,3.49213698127703,1.53550686138134
18428.6415900907,6602.44259166467,2613.86602859096,2613.86602859096,6602.44259166467,0,"2021-05-28 07:16:00",379278.350819776,3879479.16600749,"2020-01-01",11.5537164838322,1554.42984730625,0.486603284356093,0,0,0,23.4086301767663,5.48257533784393,1.35610958783288
36269.1490417644,27852.7088727055,15741.0577374409,15741.0577374409,27852.7088727055,0,"2017-07-02 11:06:00",327153.15711188,3946799.38127874,"2020-01-01",3.89647619166275,1905.09519700892,0.00115041702617199,0.282714984181766,0,0,20.2413424983825,4.6290411072745,1.07172602953976
116671.45262276,15457.7284794803,16273.5457396423,15457.7284794803,15457.7284794803,1,"2022-01-03 02:39:00",440699.204375785,4016199.70214277,"2020-01-01",7.47687481103341,1780.82528735632,0.00316091954022989,0.158333333333333,0,0,19.6930411200205,6.81589040941979,0.894273973654395
23803.0546929525,25182.3411434641,7213.53513227068,7213.53513227068,23803.0546929525,0,"2023-04-16 14:03:00",358212.316245635,3923405.90767151,"2020-01-01",6.80368188259539,1784.0408280621,0.054916618746406,0.192926969522714,0,0,19.9882739793764,2.98868493139234,0.901863013881528
138942.531825516,4806.07891818048,4361.64557146295,4361.64557146295,4806.07891818048,0,"2020-05-12 13:04:00",454094.181116248,4036288.30215186,"2020-01-01",7.58985799891574,1954.2581294964,0.00115107913669065,0,0,0,19.8235616601493,6.00550682364058,0.33876712289575
110550.386438876,1416.39285843478,4710.75440880446,1416.39285843478,1416.39285843478,1,"2019-05-24 23:52:00",466034.681504883,4006637.18177837,"2020-01-01",12.2987031788392,1613.56588032221,0,0.16800920598389,0,0,20.324630109333,7.07145206615432,0.690328767201673
35008.7563780429,3312.75071402995,3765.56955725315,3312.75071402995,3312.75071402995,1,"2016-04-01 20:16:00",403149.164367722,3937954.28423757,"2020-01-01",4.12001208504438,1876.62938470385,0.00115008625646924,0.282921219091432,0,0,19.7259178241638,3.20408219262346,1.00616439154805
96841.8037716464,12916.8978857621,4245.67463022749,4245.67463022749,12916.8978857621,0,"2020-07-04 08:30:00",428546.707939159,3997941.26157834,"2020-01-01",87.7962226679047,1529.37993658115,0.00518881522052465,0.00317094263476506,0,0,25.9941096162143,11.2910136898801,0.260575342627422
11300.7993912257,24603.5369471432,2006.5810133771,2006.5810133771,11300.7993912257,0,"2024-03-16 00:02:00",455904.483699092,3844623.14956514,"2020-01-01",10.4861784288647,2144.64281609195,0.941091954022989,0.00229885057471264,0,0,17.0076569116191,2.03014072260124,1.85508530643626
24592.0183127166,27485.0313563095,9581.97205167655,9581.97205167655,24592.0183127166,0,"2020-11-21 08:50:00",354492.275611567,3925925.13238721,"2020-01-01",3.25515972619255,1771.09430707303,0.0100632547441058,0.0451408855664175,0,0,22.2213150339584,3.60158901774925,0.564273973768704
25133.689485337,13307.9339445455,3662.27785631718,3662.27785631718,13307.9339445455,0,"2022-08-23 01:43:00",492352.465895066,3860535.0862598,"2020-01-01",3.50047866325993,1800.24748201439,0,0.141294964028777,0,0,19.699780830945,4.46282190247758,0.991561646984047
96416.53159951,1472.76308736116,2442.8157729024,1472.76308736116,1472.76308736116,1,"2022-01-19 17:39:00",512220.753897963,3980531.83088134,"2020-01-01",7.40791072556227,1835.20362381363,0,0.47598504457866,0,0,20.4141644484886,5.11145203776456,1.02794520397709
61686.846953897,16152.564726228,4721.6144776556,4721.6144776556,16152.564726228,0,"2014-06-11 17:18:00",500504.476914006,3820213.51889976,"2020-01-01",24.9089127019799,2147.17826336975,0.881541115583669,0.00172512938470385,0,0,17.8899178320006,4.00386299759865,1.42893151224476
176714.894122676,9222.27411381381,4804.93180983809,4804.93180983809,9222.27411381381,0,"2016-07-12 00:31:00",442803.068699537,4084068.95062947,"2020-01-01",27.7949493513794,1243.30284728214,0,0,0,0,22.9172603091149,9.07095889676718,0.550657534925905
39973.7265025359,26023.4428349272,4377.28829158195,4377.28829158195,26023.4428349272,0,"2022-03-06 21:33:00",522368.211629985,3920458.71291992,"2020-01-01",3.59687512398427,1529.62812769629,0,0.403221167673282,0,0,22.5650685029487,5.41978083970406,1.55558903964415
49540.3751805279,14413.2563889882,3389.78629953554,3389.78629953554,14413.2563889882,0,"2021-07-11 18:59:00",383016.182918623,3951566.56117889,"2020-01-01",3.90266062195368,1756.8158045977,0,0.0896551724137931,0,0,20.8478356062549,4.34561644311332,1.06980821617866
48219.1268960983,39843.2853014247,21308.1394073853,21308.1394073853,39843.2853014247,0,"2018-09-11 08:49:00",332069.809277448,3958393.02201894,"2020-01-01",6.50843329187294,1798.34667434495,0,0.0374316153181687,0,0,20.6196164546356,4.90284930859018,1.12654794136139
103402.37800112,51656.4982533103,867.905941093955,867.905941093955,51656.4982533103,0,"2014-07-26 14:44:00",349184.018207732,4011429.0344709,"2020-01-01",37.4263109740875,1241.77675489068,0,0,0,0,23.7122740167053,8.36621917870457,0.684876712707624
128094.394084481,10848.0331177352,48.0325323971838,48.0325323971838,10848.0331177352,0,"2024-10-29 21:30:00",514503.570116665,4012920.43974296,"2020-01-01",5.69659542151365,1818.1254676259,0,0.53726618705036,0,0,19.793249069473,4.65078953673956,0.614139477032731
31273.6789274327,15687.6080112091,638.362806402695,638.362806402695,15687.6080112091,0,"2016-05-12 17:11:00",477252.240106533,3848435.69872144,"2020-01-01",6.32306093415143,2078.96002300834,0.627552487776819,0.00747771067011792,0,0,18.1858629588803,3.01030136281497,1.56556164924412
2657.18892402727,14221.476662444,3711.61325561166,2657.18892402727,2657.18892402727,1,"2015-05-25 15:24:00",381420.716254193,3895519.46562114,"2020-01-01",6.73571243522469,2015.91968911917,0.240932642487047,0.0575705238917674,0,0,18.9066575055253,3.2464657327798,1.35224656911745
709.80762847319,13498.8706551685,4636.34354778106,709.80762847319,709.80762847319,1,"2024-09-30 08:43:00",409135.845987514,3902266.30458177,"2020-01-01",8.96795071313208,2177.87798561151,0.83136690647482,0.0083453237410072,0,0,17.3308125769451,0.569839975143714,1.5442733481445
182965.541200281,8210.27030863211,6393.852623362,6393.852623362,8210.27030863211,0,"2015-11-13 09:29:00",480348.349213044,4077713.98743529,"2020-01-01",31.144944504147,1283.26974063401,0,0,0,0,22.3863287510937,9.93895891347056,0.667616431721268
102531.800557608,15848.9292562133,9311.14938874994,9311.14938874994,15848.9292562133,0,"2024-05-25 20:31:00",365698.585876875,4071487.03062981,"2020-01-01",3.77216975518368,1618.921506613,0,0,0,0,20.7989950076675,5.03195080705644,0.959345579371058
45722.3838447734,8939.36308473713,10335.6245344127,8939.36308473713,8939.36308473713,1,"2021-01-04 08:01:00",411405.747346308,3948107.44277896,"2020-01-01",4.16754488619721,1963.47972389991,0.0425654299683635,0.13920046016681,0,0,19.1217808226404,3.1344931533994,1.08619178027323
66966.3179777459,52392.1443706922,23169.054991915,23169.054991915,52392.1443706922,0,"2020-12-22 17:07:00",345536.41834821,3974838.42526313,"2020-01-01",3.39977169791962,1770.02044930876,0,0.00374423963133641,0,0,21.3329863002855,5.00832876099198,0.40569863352057
